"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K05577",4.45033326580562,0.31462202231249,1.08106479958651,0.291029753658456,0.771028563801157,0.874695861757217
"ko:K07653",2.10453558744421,0.338455532133358,1.16393131636633,0.290786515814337,0.771214598762583,0.874695861757217
"ko:K01262",79.8577215160763,0.0790598852854057,0.272042515508038,0.290615917654495,0.771345084756689,0.874695861757217
"ko:K01724",20.9436031257832,-0.127118126062834,0.438002101352499,-0.290222639732338,0.771645917218868,0.874822321753776
"ko:K11075",0.572738785296199,-0.704641673727099,2.43116802093158,-0.289836682475402,0.771941183226115,NA
"ko:K02594",4.38815546840024,-0.249397224120175,0.861320959912071,-0.289552020359095,0.772158977333674,0.875065539942667
"ko:K03789",18.3532046755501,0.126888434071436,0.438736884894874,0.289213053290105,0.772418343407881,0.875065539942667
"ko:K01011",161.830197095563,-0.085606449785021,0.296011531234992,-0.2891997126864,0.772428551704423,0.875065539942667
"ko:K21025",13.2304174140137,-0.283447358576737,0.982001649672213,-0.288642446447366,0.772855009775851,0.875334068670149
"ko:K10022",0.616185577594173,-0.687329406107918,2.3850270635588,-0.288185160080459,0.773205007690559,NA
"ko:K21071",96.5199500234836,0.071968884928762,0.250367112765775,0.287453428422489,0.77376515651878,0.876087284142655
"ko:K00127",35.2919328691472,-0.163637821883251,0.569614235094266,-0.287278322417927,0.773899219621363,0.876087284142655
"ko:K10111",11.2794281263408,0.217944493068084,0.75940455560105,0.286993923674301,0.774116972829331,0.876119160285168
"ko:K01941",17.1940302054867,-0.170328070116249,0.594285465176794,-0.28660985350799,0.774411068828177,0.876232519802132
"ko:K20333",3.28549910129049,-0.270016781555546,0.942901775457021,-0.286367879013347,0.774596373813398,0.876232519802132
"ko:K16199",1.22630562969963,-0.576999803947242,2.01911919399274,-0.285768074348421,0.775055761843174,NA
"ko:K06034",1.70038098745968,0.444379565590707,1.55614795736843,0.285563826682771,0.775212212306704,0.876714545538247
"ko:K10555",1.22748686428776,0.526630213817146,1.8482641802716,0.284932327011692,0.775695988708568,NA
"ko:K09919",10.1810289070287,-0.166942462898092,0.587522804849924,-0.284146354013841,0.776298224918414,0.877727941607044
"ko:K12372",1.19346788581632,-0.666786681813511,2.35038922922665,-0.283692025781153,0.776646406281586,NA
"ko:K00928",100.927561422954,0.0675239245837985,0.238082288085528,0.283615909132818,0.776704743825885,0.877972754701423
"ko:K20469",3.95959781210415,0.360665470662221,1.27435943412564,0.283017068029696,0.777163753281327,0.87821265243149
"ko:K02988",205.047379443011,0.0633373137726888,0.224111266083193,0.282615483280422,0.777471610072471,0.87821265243149
"ko:K00170",17.0624749309782,-0.211141463317412,0.748793186287734,-0.281975673902938,0.77796216316712,0.87821265243149
"ko:K14058",16.5633502065597,-0.136840455283133,0.485308236478986,-0.281966068154828,0.777969528737871,0.87821265243149
"ko:K10806",7.35968565985951,0.197461051096053,0.700371591772681,0.281937550602628,0.777991395767375,0.87821265243149
"ko:K11747",9.86770443167292,0.264121710299718,0.937094761333702,0.281851655988143,0.778057260128656,0.87821265243149
"ko:K05779",0.311694615673376,-0.972448494942498,3.45182381703779,-0.281720199664481,0.778158064492735,NA
"ko:K18014",0.311694615673376,-0.972448494942498,3.45182381703779,-0.281720199664481,0.778158064492735,NA
"ko:K21701",0.311694615673376,-0.972448494942498,3.45182381703779,-0.281720199664481,0.778158064492735,NA
"ko:K22310",0.311694615673376,-0.972448494942498,3.45182381703779,-0.281720199664481,0.778158064492735,NA
"ko:K00945",33.1786743626385,0.0948796638790458,0.337103190826931,0.281455846342781,0.778360789270677,0.878340709943785
"ko:K07714",51.5153754684219,-0.145460840833135,0.517499545044828,-0.2810839975145,0.778645974715898,0.878448010049356
"ko:K00979",14.4497770462342,-0.169667571686407,0.605182939103,-0.28035749312082,0.779203245399804,0.878862142297411
"ko:K19049",0.297373670508442,-0.91315465735062,3.26188769909482,-0.279946687804127,0.779518406981237,NA
"ko:K02011",32.6839276131161,0.112439519350456,0.402035484467446,0.279675609976065,0.779726392295579,0.879135670405532
"ko:K07666",5.39844782987845,0.312112027942011,1.11649827218799,0.279545464347534,0.779826252541068,0.879135670405532
"ko:K03654",90.8686242094004,-0.0948965506643163,0.340035904001387,-0.279078031312627,0.780184942076441,0.879325516423227
"ko:K13486",0.854211156947657,-0.617232386231895,2.21383490538447,-0.278806872513694,0.780393040013883,NA
"ko:K11410",7.38382365675374,0.23405430032144,0.841164025144007,0.278250487806312,0.780820080787554,0.879826772328526
"ko:K22348",30.6119840682651,-0.193242605822778,0.698099253807113,-0.276812508778546,0.78192407574073,0.880728409483503
"ko:K00856",19.8333080728725,-0.141082280931052,0.50985285760785,-0.276711758747392,0.782001442136077,0.880728409483503
